State financial aid for unauthorized immigrant students at state colleges and universities,,,,,,,,,,,,,,,,,,,,
,2000,=B2+1,=C2+1,=D2+1,=E2+1,=F2+1,=G2+1,=H2+1,=I2+1,=J2+1,=K2+1,=L2+1,=M2+1,=N2+1,=O2+1,=P2+1,=Q2+1,KEY,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,State did not have the policy,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,State had the policy,
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
California,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New Mexico,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,
New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Oklahoma,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Texas,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Source: Julia Gelatt, Hamutal Bernstein, and Heather Koball, ""State Immigration Policy Resource,"" Washington, DC: Urban Institute, May 2017, http://urban.org/features/state-immigration-policy-resource.",,,,,,,,,,,,,,,,,,,,
"Original data sources: ""Table: Laws & Policies Improving Access to Higher Education for Immigrants,"" in ""Toolkit: Access to Postsecondary Education, National Immigration Law Center,  last modified April 2017, https://www.nilc.org/issues/education/eduaccesstoolkit2a/#tables.",,,,,,,,,,,,,,,,,,,,
"""Undocumented Student Tuition: Overview,"" National Conference of State Legislators, accessed October 2015, http://www.ncsl.org/research/education/undocumented-student-tuition-overview.aspx",,,,,,,,,,,,,,,,,,,,
"""National Map,"" ULEAD Network, accessed April 28, 2017, http://uleadnet.org/issue/map.",,,,,,,,,,,,,,,,,,,,
"Notes: This table indicates whether each state allows students who meet certain requirements to access state financial aid, regardless of their immigration status.",,,,,,,,,,,,,,,,,,,,
