Food assistance for LPR children during five-year bar ,,,,,,,,,,,,,,,,,,KEY,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,0,State did not have the policy,
Alabama,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,State had the policy,
Alaska,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Arizona,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Arkansas,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
California,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Colorado,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Connecticut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Delaware,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
District of Columbia,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Florida,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Georgia,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Hawaii,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Idaho,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Illinois,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Indiana,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Iowa,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Kansas,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Kentucky,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Louisiana,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Maine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Maryland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Massachusetts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Michigan,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Minnesota,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Mississippi,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Missouri,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Montana,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Nebraska,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Nevada,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
New Hampshire,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
New Jersey,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
New Mexico,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
New York,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
North Carolina,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
North Dakota,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Ohio,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Oklahoma,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Oregon,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Pennsylvania,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Rhode Island,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
South Carolina,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
South Dakota,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Tennessee,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Texas,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Utah,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Vermont,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Virginia,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Washington,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
West Virginia,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Wisconsin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Wyoming,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
"Source: Julia Gelatt, Hamutal Bernstein, and Heather Koball, ""State Immigration Policy Resource,"" Washington, DC: Urban Institute, May 2017, http://urban.org/features/state-immigration-policy-resource.",,,,,,,,,,,,,,,,,,,,
"Original data sources: ""State-Funded Food Programs for Legal Immigrants tables, 2000–02,"" USDA. Interpretation is that ""legal immigrants otherwise eligible"" includes LPR children in the country less than five years. ",,,,,,,,,,,,,,,,,,,,
"Notes: This table indicates whether State provides food stamps or SNAP benefits for low-income LPR children during their first five years with this status. Before 2003, several states offered food stamps to LPR children without a waiting period. A 2002 bill restored food stamp eligibility to LPR children during their first five years in that status, effective in April 2003.",,,,,,,,,,,,,,,,,,,,
Key Terms:,,,,,,,,,,,,,,,,,,,,
LPR = lawful permanent resident ,,,,,,,,,,,,,,,,,,,,
SNAP = Supplemental Nutrition Assistance Program,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
